Connector,Pin,FPGA Pin,Pin Attributes,Net Name,Length (mm),Power In,Power Out,I/O Power,Ground,FPGA I/O,I/O Bank,JTAG,FPGA Clock In,Differential (+),Differential (-),BRK7010,Design Net,XDC IOStandard,Comment
MC1,42,Y6,IO_L18P_T2_34,B34_L18P,12.947,"","","","",TRUE,34,"","",TRUE,"",J2-2,"",LVCMOS33,""
MC1,43,R2,IO_L3N_T0_DQS_34,B34_L3N,26.199,"","","","",TRUE,34,"","","",TRUE,J2-3,"",LVCMOS33,""
MC1,44,AA6,IO_L18N_T2_34,B34_L18N,11.630,"","","","",TRUE,34,"","","",TRUE,J2-4,"",LVCMOS33,""
MC1,45,Y3,IO_L9P_T1_DQS_34,B34_L9P,20.655,"","","","",TRUE,34,"","",TRUE,"",J2-5,"",LVCMOS33,""
MC1,46,AA8,IO_L22P_T3_34,B34_L22P,9.743,"","","","",TRUE,34,"","",TRUE,"",J2-6,"",LVCMOS33,""
MC1,47,AA3,IO_L9N_T1_DQS_34,B34_L9N,19.450,"","","","",TRUE,34,"","","",TRUE,J2-7,"",LVCMOS33,""
MC1,48,AB8,IO_L22N_T3_34,B34_L22N,8.497,"","","","",TRUE,34,"","","",TRUE,J2-8,"",LVCMOS33,""
MC1,49,U2,IO_L2P_T0_34,B34_L2P,22.529,"","","","",TRUE,34,"","",TRUE,"",J2-9,"",LVCMOS33,""
MC1,50,U3,IO_L6P_T0_34,B34_L6P,16.995,"","","","",TRUE,34,"","",TRUE,"",J2-10,"",LVCMOS33,""
MC1,51,V2,IO_L2N_T0_34,B34_L2N,21.382,"","","","",TRUE,34,"","","",TRUE,J2-11,"",LVCMOS33,""
MC1,52,V3,IO_L6N_T0_VREF_34,B34_L6N,15.659,"","","","",TRUE,34,"","","",TRUE,J2-12,"",LVCMOS33,""
MC1,53,W2,IO_L4P_T0_34,B34_L4P,19.256,"","","","",TRUE,34,"","",TRUE,"",J2-13,"",LVCMOS33,""
MC1,54,W1,IO_L5P_T0_34,B34_L5P,15.830,"","","","",TRUE,34,"","",TRUE,"",J2-14,"",LVCMOS33,""
MC1,55,"","",DGND,"","","","",true,"","","","","","",J2-15,"","",""
MC1,56,"",VCCO_34,VCCO_MC1,"","","",VCCO_MC1,"","","","","","","",J2-16,"","",""
MC1,57,Y2,IO_L4N_T0_34,B34_L4N,17.689,"","","","",TRUE,34,"","","",TRUE,J2-17,"",LVCMOS33,""
MC1,58,Y1,IO_L5N_T0_34,B34_L5N,13.608,"","","","",TRUE,34,"","","",TRUE,J2-18,"",LVCMOS33,""
MC1,59,T1,IO_L1P_T0_34,B34_L1P,21.474,"","","","",TRUE,34,"","",TRUE,"",J2-19,"",LVCMOS33,""
MC1,60,AB3,IO_L8P_T1_34,B34_L8P,9.054,"","","","",TRUE,34,"","",TRUE,"",J2-20,"",LVCMOS33,""
MC1,61,U1,IO_L1N_T0_34,B34_L1N,20.217,"","","","",TRUE,34,"","","",TRUE,J2-21,"",LVCMOS33,""
MC1,62,AB2,IO_L8N_T1_34,B34_L8N,9.550,"","","","",TRUE,34,"","","",TRUE,J2-22,"",LVCMOS33,""
MC1,63,AA1,IO_L7P_T1_34,B34_L7P,15.811,"","","","",TRUE,34,"","",TRUE,"",J2-23,"",LVCMOS33,""
MC1,64,Y13,IO_L5P_T0_13,B13_L5P,43.978,"","","","",TRUE,13,"","",TRUE,"",J2-24,"",LVCMOS33,""
MC1,65,AB1,IO_L7N_T1_34,B34_L7N,14.617,"","","","",TRUE,34,"","","",TRUE,J2-25,"",LVCMOS33,""
MC1,66,AA14,IO_L5N_T0_13,B13_L5N,42.695,"","","","",TRUE,13,"","","",TRUE,J2-26,"",LVCMOS33,""
MC1,67,AB16,IO_L2P_T0_13,B13_L2P,29.868,"","","","",TRUE,13,"","",TRUE,"",J2-27,"",LVCMOS33,""
MC1,68,AA13,IO_L3P_T0_DQS_13,B13_L3P,41.798,"","","","",TRUE,13,"","",TRUE,"",J2-28,"",LVCMOS33,""
MC1,69,AB17,IO_L2N_T0_13,B13_L2N,31.153,"","","","",TRUE,13,"","","",TRUE,J2-29,"",LVCMOS33,""
MC1,70,AB13,IO_L3N_T0_DQS_13,B13_L3N,41.239,"","","","",TRUE,13,"","","",TRUE,J2-30,"",LVCMOS33,""
MC1,71,AA15,IO_L4P_T0_13,B13_L4P,42.504,"","","","",TRUE,13,"","",TRUE,"",J2-31,"",LVCMOS33,""
MC1,72,W15,IO_L16P_T2_13,B13_L16P,34.678,"","","","",TRUE,13,"","",TRUE,"",J2-32,"",LVCMOS33,""
MC1,73,AB15,IO_L4N_T0_13,B13_L4N,41.728,"","","","",TRUE,13,"","","",TRUE,J2-33,"",LVCMOS33,""
MC1,74,W16,IO_L16N_T2_13,B13_L16N,36.231,"","","","",TRUE,13,"","","",TRUE,J2-34,"",LVCMOS33,""
MC1,75,Y16,IO_L1P_T0_13,B13_L1P,41.295,"","","","",TRUE,13,"","",TRUE,"",J2-35,"",LVCMOS33,""
MC1,76,AA16,IO_L1N_T0_13,B13_L1N,34.804,"","","","",TRUE,13,"","","",TRUE,J2-36,"",LVCMOS33,""
